epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.5248,1.14829,0.64791,0.97293,0.83786,0.79017,0.83181,0.50032,1.28679,0.6763,1.00087,0.00165414,0.00165414,0.0685714
2,89.8563,1.07954,0.62319,0.95147,0.80362,0.76164,0.80284,0.47921,1.37506,0.73183,1.04744,0.00329877,0.00329877,0.0368827
3,128.399,1.10633,0.64048,0.96043,0.83678,0.76486,0.81698,0.49709,1.31208,0.6998,1.01353,0.0049213,0.0049213,0.00517193
4,166.856,1.13358,0.65567,0.968,0.84324,0.78912,0.83823,0.53093,1.21947,0.66691,0.98093,0.0049005,0.0049005,0.0049005
5,204.349,1.13246,0.65161,0.96674,0.68212,0.56083,0.61199,0.36819,1.51447,1.28999,1.11739,0.00486733,0.00486733,0.00486733
6,242.585,1.12654,0.65376,0.96605,0.87157,0.78145,0.85237,0.5694,1.13025,0.64286,0.95303,0.00483417,0.00483417,0.00483417
7,280.051,1.10764,0.64198,0.96108,0.85265,0.79008,0.84473,0.55408,1.16823,0.66307,0.97266,0.004801,0.004801,0.004801
8,317.447,1.11505,0.64679,0.96233,0.84767,0.77914,0.83467,0.53419,1.22682,0.66746,0.98119,0.00476783,0.00476783,0.00476783
9,354.736,1.10195,0.6386,0.95943,0.83761,0.77554,0.8265,0.5358,1.20396,0.67252,0.98127,0.00473467,0.00473467,0.00473467
10,391.81,1.10282,0.63705,0.95753,0.84118,0.75965,0.8238,0.52378,1.24596,0.69313,1.00168,0.0047015,0.0047015,0.0047015
11,429.29,1.09318,0.63699,0.95792,0.78485,0.66549,0.72638,0.41712,1.48133,0.88857,1.08386,0.00466833,0.00466833,0.00466833
12,466.426,1.08706,0.63133,0.95475,0.85868,0.79531,0.85011,0.5617,1.15671,0.63066,0.96307,0.00463517,0.00463517,0.00463517
13,504.06,1.08559,0.63081,0.95577,0.84483,0.78319,0.83717,0.54215,1.1885,0.65164,0.98308,0.004602,0.004602,0.004602
14,542.112,1.07865,0.62594,0.95308,0.86608,0.80027,0.85462,0.57426,1.11553,0.62734,0.95458,0.00456883,0.00456883,0.00456883
15,579.972,1.07591,0.62589,0.9528,0.72189,0.65977,0.68652,0.37073,1.64805,0.92012,1.17277,0.00453567,0.00453567,0.00453567
16,617.733,1.0695,0.62381,0.95105,0.8135,0.76601,0.81846,0.51838,1.24339,0.69528,1.01287,0.0045025,0.0045025,0.0045025
17,655.414,1.06955,0.62235,0.95301,0.84549,0.79164,0.84298,0.52791,1.23898,0.66787,0.99286,0.00446933,0.00446933,0.00446933
18,692.96,1.06608,0.62275,0.95043,0.87514,0.81671,0.87364,0.60398,1.03326,0.58671,0.9342,0.00443617,0.00443617,0.00443617
19,730.49,1.06616,0.6224,0.95379,0.86166,0.78833,0.84799,0.56287,1.12664,0.63681,0.95461,0.004403,0.004403,0.004403
20,767.831,1.05759,0.61668,0.94772,0.84746,0.79405,0.84343,0.53485,1.21712,0.67274,0.98339,0.00436983,0.00436983,0.00436983
